id,project_id,keyword
1,1,code list
2,1,list of analysed policy documents
3,1,interview topic list
4,1,coded policy documents
5,1,Arts and Humanities
6,1,Social Sciences
7,2,Patient participation; Medical education; Patient empowerment; Self-management; Shared decision-making; Compassion
8,2,Social Sciences
9,3,clinical workplace – initiation – international placement – student participation - undergraduate
10,3,Social Sciences
11,4,zelfregulerend leren
12,4,engineering
13,4,studiestrategieën
14,4,hoger onderwijs
15,4,self-regulated learning
16,4,Engineering
17,5,Migration
18,5,Development
19,5,Social Sciences
20,6,Migration
21,6,Development
22,6,Social Sciences
23,7,Migration
24,7,United Nations
25,7,International organisations
26,7,Social Sciences
27,8,Migration
28,8,Crisis
29,8,Crisis management
30,8,Social Sciences
31,9,Migration
32,9,Governance
33,9,Public Policy
34,9,History
35,9,Social Sciences
36,10,"upward feedback, teacher assessment, educational leads/supervisors, faculty development, teacher motivation"
37,10,Social Sciences
38,11,"upward feedback, teacher motivation, faculty development, teacher assessment"
39,11,Social Sciences
40,12,Social Sciences
41,13,Tilburg University
42,13,Social Science
43,13,Organizational psychology
44,13,Evidence-based management
45,13,Organizational decision-making
46,13,Business and Management
47,13,Social Sciences
48,14,Social Sciences
49,15,Social Sciences
50,16,Medical Dutch; Simulated medical consultation; Role-play; Patient role; Doctor role; Intrinsic motivation; Relatedness; Competence; Self-determination theory
51,16,Social Sciences
52,17,Problem-based learning; Biomedical Sciences; curriculum reform; competency-based education; mixed methods
53,17,Social Sciences
54,18,Self-regulated learning; problem-based learning; mixed methods
55,18,Social Sciences
56,19,Arts and Humanities
57,19,Earth and Environmental Sciences
58,19,Social Sciences
59,20,Social Sciences
60,21,Social Sciences
61,22,ddc:004
62,22,ddc:005
63,22,Application Programming Interface
64,22,Misuses
65,22,Software Reuse
66,22,Root Causes
67,22,Prevention Mechanisms
68,22,Automated Misuse Detection
69,22,Automated Misuse Repair
70,23,ddc:610
71,24,ddc:610
72,25,ddc:610
73,26,ddc:610
74,27,ddc:610
75,27,Medizinische Versorgung
76,27,Sachsen-Anhalt
77,28,ddc:610
78,29,ddc:370
79,30,ddc:780
80,30,Boulez
81,30,Stockhausen
82,30,Ligeti
83,30,Musikschrifttum
84,30,Computerlinguistik
85,30,Hochschulschrift
86,30,Online-Publikation
87,31,ddc:610
88,31,ddc:618
89,32,ddc:610
90,33,ddc:610
91,34,ddc:610
92,35,ddc:610
93,36,ddc:610
94,37,ddc:150
95,37,ddc:152
96,37,Sexuelle Bildung
97,37,genitales Selbstbild
98,37,genitale Selbstwahrnehmung
99,37,Sexocorporel
100,37,sexuelle Selbstsicherheit
101,37,sexuelle Zufriedenheit
102,37,Online-Kurs
103,38,ddc:610
104,38,ddc:613
106,38,ddc:616
107,38,Krebserkrankung
108,38,sexuelle Gesundheit
109,38,Unterstützungsangebot für Betroffene
110,39,ddc:610
111,40,ddc:610
112,40,ddc:300
113,40,ddc:302
114,40,weibliche Sexualität
115,40,Brustentfernung
116,40,sexuelle Gesundheit
117,40,Sexualberatung
118,41,ddc:300
119,41,ddc:302
120,41,ddc:792
121,41,ddc:610
122,41,Multiple Sklerose
123,41,Biografisches Theater
