id,project_id,license
1,1,CC0-1.0
2,2,CC0-1.0
3,3,CC0-1.0
4,4,CC-BY-4.0
5,5,CC0-1.0
6,6,CC0-1.0
7,7,CC0-1.0
8,8,CC0-1.0
9,9,CC0-1.0
10,10,CC0-1.0
11,11,CC0-1.0
12,12,CC0-1.0
13,14,CC0-1.0
14,15,CC0-1.0
15,16,CC0-1.0
16,17,CC0-1.0
17,18,CC0-1.0
18,19,CC0-1.0
19,20,CC0-1.0
20,21,CC0-1.0
21,22,CC-BY-4.0
22,23,CC-BY-4.0
23,24,CC-BY-4.0
24,25,CC-BY-4.0
25,26,CC-BY-4.0
26,27,CC-BY-SA-4.0
27,28,CC-BY-4.0
28,29,CC-BY-NC-ND-4.0
29,30,http://rightsstatements.org/vocab/InC/1.0/
30,31,CC-BY-4.0
31,32,CC-BY-4.0
32,33,CC-BY-4.0
33,34,CC-BY-NC-ND-4.0
34,35,CC-BY-4.0
35,36,CC-BY-4.0
36,37,CC-BY-4.0
37,38,CC-BY-SA-4.0
38,39,CC-BY-4.0
39,40,CC-BY-ND-4.0
40,41,CC-BY-4.0
41,42,CC-BY-4.0
42,43,CC-BY-4.0
43,44,CC-BY-4.0
44,45,http://rightsstatements.org/vocab/InC/1.0/
45,46,CC-BY-SA-4.0
46,47,CC-BY-4.0
47,48,CC-BY-SA-4.0
48,49,Public Domain
49,50,http://rightsstatements.org/vocab/InC/1.0/
50,51,CC-BY-NC-4.0
51,52,http://rightsstatements.org/vocab/InC/1.0/
52,53,CC-BY-SA-4.0
53,54,CC-BY-4.0
54,55,CC-BY-4.0
55,56,CC-BY-4.0
56,57,CC-BY-4.0
57,58,http://rightsstatements.org/vocab/InC/1.0/
58,59,http://rightsstatements.org/vocab/InC/1.0/
59,60,CC-BY-SA-4.0
60,61,CC-BY-4.0
61,62,CC-BY-4.0
62,63,CC-BY-NC-4.0
63,64,CC-BY-SA-4.0
64,65,CC-BY-4.0
65,66,CC-BY-SA-4.0
66,67,CC-BY-NC-4.0
67,68,CC-BY-4.0
68,69,CC-BY-4.0
69,70,CC-BY-4.0
70,71,CC-BY-NC-4.0
71,72,http://rightsstatements.org/vocab/InC/1.0/
72,73,http://rightsstatements.org/vocab/InC/1.0/
73,74,CC-BY-SA-4.0
74,75,CC-BY-4.0
75,76,CC-BY-4.0
76,78,Public Domain
77,79,CC-BY-NC-4.0
78,80,CC-BY-4.0
79,81,CC-BY-NC-4.0
80,82,CC-BY-4.0
81,83,http://rightsstatements.org/vocab/InC/1.0/
82,84,CC-BY-NC-4.0
83,85,CC-BY-NC-SA-4.0
84,86,CC-BY-4.0
85,87,CC-BY-4.0
86,88,http://rightsstatements.org/vocab/InC/1.0/
87,89,http://rightsstatements.org/vocab/InC/1.0/
88,90,http://rightsstatements.org/vocab/InC/1.0/
89,91,CC-BY-4.0
90,92,CC-BY-SA-4.0
91,93,CC-BY-4.0
92,94,CC-BY-NC-4.0
93,95,http://rightsstatements.org/vocab/InC/1.0/
94,96,CC-BY-SA-4.0
95,97,http://rightsstatements.org/vocab/InC/1.0/
96,98,CC-BY-SA-4.0
97,99,CC-BY-4.0
98,100,CC-BY-SA-4.0
99,101,CC-BY-4.0
100,102,CC-BY-4.0
101,103,CC-BY-SA-4.0
102,104,CC-BY-NC-4.0
103,105,CC-BY-4.0
104,106,CC-BY-4.0
105,107,http://rightsstatements.org/vocab/InC/1.0/
106,108,CC-BY-SA-4.0
107,109,http://rightsstatements.org/vocab/InC/1.0/
108,110,CC-BY-4.0
109,111,CC-BY-SA-4.0
110,112,CC-BY-4.0
111,113,CC-BY-NC-ND-4.0
112,114,CC-BY-4.0
113,115,CC-BY-4.0
114,116,CC-BY-4.0
115,117,CC-BY-ND-4.0
116,118,CC-BY-4.0
117,119,CC-BY-4.0
118,120,CC-BY-4.0
119,121,CC-BY-NC-ND-4.0
120,122,CC-BY-4.0
121,123,http://rightsstatements.org/vocab/InC/1.0/
122,124,CC-BY-4.0
123,125,CC-BY-SA-4.0
124,126,Public Domain
125,127,http://rightsstatements.org/vocab/InC/1.0/
126,128,CC-BY-SA-4.0
127,129,CC-BY-4.0
128,130,CC-BY-NC-ND-4.0
129,131,http://rightsstatements.org/vocab/InC/1.0/
130,132,CC-BY-4.0
131,133,CC-BY-4.0
132,134,CC-BY-4.0
133,135,CC-BY-4.0
134,136,CC-BY-4.0
135,137,CC-BY-4.0
136,138,CC-BY-4.0
137,139,CC-BY-SA-4.0
138,140,CC-BY-4.0
139,141,CC-BY-4.0
140,142,CC-BY-4.0
141,143,CC-BY-4.0
142,144,CC-BY-4.0
143,145,CC-BY-NC-4.0
144,146,CC-BY-4.0
145,147,http://rightsstatements.org/vocab/InC/1.0/
146,148,http://rightsstatements.org/vocab/InC/1.0/
147,149,http://rightsstatements.org/vocab/InC/1.0/
148,150,Public Domain
149,151,CC-BY-SA-4.0
150,152,CC-BY-4.0
151,153,https://creativecommons.org/licenses/by-nc-nd/3.0/
152,154,CC-BY-NC-ND-4.0
153,155,CC-BY-NC-ND-4.0
154,156,CC-BY-SA-4.0
155,157,CC-BY-NC-ND-4.0
156,158,http://rightsstatements.org/vocab/InC/1.0/
157,159,CC-BY-4.0
158,160,CC-BY-4.0
159,161,CC-BY-SA-4.0
160,162,CC-BY-4.0
161,163,http://rightsstatements.org/vocab/InC/1.0/
162,164,http://rightsstatements.org/vocab/InC/1.0/
163,165,CC-BY-4.0
164,166,CC-BY-SA-4.0
165,167,CC-BY-SA-4.0
166,168,CC-BY-NC-4.0
167,169,CC-BY-SA-4.0
168,170,http://rightsstatements.org/vocab/InC/1.0/
169,171,http://rightsstatements.org/vocab/InC/1.0/
170,172,CC-BY-ND-4.0
171,173,CC-BY-4.0
172,174,CC-BY-4.0
173,175,CC-BY-SA-4.0
174,176,CC-BY-4.0
175,177,http://rightsstatements.org/vocab/InC/1.0/
176,178,CC-BY-4.0
177,179,http://rightsstatements.org/vocab/InC/1.0/
178,180,http://rightsstatements.org/vocab/InC/1.0/
179,181,CC-BY-NC-ND-4.0
180,182,CC-BY-4.0
181,183,CC-BY-4.0
182,184,http://rightsstatements.org/vocab/InC/1.0/
183,185,CC-BY-4.0
184,186,CC-BY-4.0
185,187,CC-BY-SA-4.0
186,188,CC-BY-SA-4.0
187,189,CC-BY-4.0
188,190,CC-BY-4.0
189,191,CC-BY-SA-4.0
190,192,http://rightsstatements.org/vocab/InC/1.0/
191,193,CC-BY-4.0
192,194,http://rightsstatements.org/vocab/InC/1.0/
193,195,CC-BY-SA-4.0
194,196,CC-BY-4.0
195,197,CC-BY-4.0
196,198,CC-BY-4.0
197,199,CC-BY-4.0
198,200,CC-BY-4.0
199,201,http://rightsstatements.org/vocab/InC/1.0/
200,202,CC-BY-4.0
201,203,CC-BY-4.0
202,204,http://rightsstatements.org/vocab/InC/1.0/
203,205,CC-BY-SA-4.0
204,206,CC-BY-4.0
205,207,CC-BY-4.0
206,208,http://rightsstatements.org/vocab/InC/1.0/
207,209,http://rightsstatements.org/vocab/InC/1.0/
208,210,CC-BY-NC-4.0
209,211,CC-BY-4.0
210,212,CC-BY-4.0
211,213,CC-BY-4.0
212,214,CC-BY-4.0
213,215,CC-BY-SA-4.0
214,216,CC-BY-SA-4.0
215,217,http://rightsstatements.org/vocab/InC/1.0/
216,218,CC-BY-4.0
217,219,http://rightsstatements.org/vocab/InC/1.0/
218,220,CC-BY-4.0
219,221,CC-BY-4.0
220,222,http://rightsstatements.org/vocab/InC/1.0/
221,223,Public Domain
222,224,CC-BY-SA-4.0
223,225,http://rightsstatements.org/vocab/InC/1.0/
224,226,CC-BY-4.0
225,227,CC-BY-4.0
226,228,CC-BY-SA-4.0
227,229,CC-BY-4.0
228,230,CC-BY-4.0
229,231,CC-BY-SA-4.0
230,232,CC-BY-4.0
231,233,http://rightsstatements.org/vocab/InC/1.0/
232,234,CC-BY-4.0
233,235,CC-BY-4.0
234,236,CC-BY-4.0
235,237,http://rightsstatements.org/vocab/InC/1.0/
236,238,CC-BY-SA-4.0
237,239,http://rightsstatements.org/vocab/InC/1.0/
238,240,CC-BY-SA-4.0
239,241,CC-BY-NC-4.0
240,242,http://rightsstatements.org/vocab/InC/1.0/
241,243,CC-BY-NC-ND-4.0
242,244,CC-BY-4.0
243,245,http://rightsstatements.org/vocab/InC/1.0/
244,246,CC-BY-4.0
245,247,CC-BY-4.0
246,248,http://rightsstatements.org/vocab/InC/1.0/
247,249,http://rightsstatements.org/vocab/InC/1.0/
248,250,CC-BY-SA-4.0
249,251,CC-BY-SA-4.0
250,252,http://rightsstatements.org/vocab/InC/1.0/
251,253,CC-BY-NC-4.0
252,254,CC-BY-SA-4.0
253,255,CC-BY-4.0
254,256,CC-BY-4.0
255,257,CC-BY-4.0
256,258,CC-BY-SA-4.0
257,259,CC-BY-4.0
258,260,http://rightsstatements.org/vocab/InC/1.0/
259,261,CC-BY-NC-4.0
260,262,CC-BY-4.0
261,263,CC-BY-NC-ND-4.0
262,264,CC-BY-4.0
263,265,CC-BY-SA-4.0
264,266,CC-BY-NC-4.0
265,267,CC-BY-4.0
266,268,http://rightsstatements.org/vocab/InC/1.0/
267,269,CC-BY-4.0
268,270,CC-BY-4.0
269,271,CC-BY-4.0
270,272,CC-BY-4.0
271,273,CC-BY-4.0
272,274,CC-BY-4.0
273,275,CC-BY-4.0
274,276,CC-BY-4.0
275,277,CC-BY-SA-4.0
276,278,http://rightsstatements.org/vocab/InC/1.0/
277,279,CC-BY-SA-4.0
278,280,CC-BY-SA-4.0
279,281,CC-BY-4.0
280,282,CC-BY-SA-4.0
281,283,CC-BY-4.0
282,284,CC-BY-ND-4.0
283,285,http://rightsstatements.org/vocab/InC/1.0/
284,286,CC-BY-4.0
285,287,CC-BY-3.0
286,288,CC-BY-NC-ND-4.0
287,289,CC-BY-4.0
288,290,CC-BY-4.0
289,291,CC-BY-4.0
290,292,CC-BY-4.0
291,293,CC-BY-NC-4.0
292,294,CC-BY-4.0
293,295,CC-BY-SA-4.0
294,296,CC-BY-SA-4.0
295,297,CC-BY-NC-ND-4.0
296,298,CC-BY-4.0
297,299,CC-BY-ND-4.0
