id,project_id,name,role
1,1,"Groothuis, Sanne",AUTHOR
2,2,Sjim Romme,AUTHOR
3,3,Mirian Wijbenga,AUTHOR
4,4,"Taban, Gabriel",AUTHOR
5,4,"Biwer, Felicitas",AUTHOR
6,4,"Bruin, Anique de",AUTHOR
7,5,"Lebon-McGregor, Elaine",AUTHOR
8,6,"Lebon-McGregor, Elaine",AUTHOR
9,7,"Lebon-McGregor, Elaine",AUTHOR
10,8,"Lebon-McGregor, Elaine",AUTHOR
11,9,"Lebon-McGregor, Elaine",AUTHOR
12,10,Katherine Wisener,AUTHOR
13,11,Katherine Wisener,AUTHOR
14,12,Katherine Wisener,AUTHOR
15,13,"Sahakian, Tina",AUTHOR
16,13,"Daouk-Öyry, Lina",AUTHOR
17,13,"Karam, Charlotte M.",AUTHOR
18,13,"Kooij, Dorien T.A.M.",AUTHOR
19,13,"Kroon, Brigitte",AUTHOR
20,13,"van de Vijver, Fons",AUTHOR
21,14,"De Visser - Amundson, Anna",AUTHOR
22,15,"van Rossum, Tiuri",AUTHOR
23,16,Hao Yu,AUTHOR
24,17,"Rovers, Sanne",AUTHOR
25,18,"Rovers, Sanne",AUTHOR
26,19,"Kleijn, de, Maurice",AUTHOR
27,20,"van Rossum, Tiuri",AUTHOR
28,21,"Njoroge, Casty Gatakaa Mbae",AUTHOR
29,22,"Nielebock, Sebastian",AUTHOR
30,22,"Ortmeier, Frank",CONTRIBUTOR
31,23,"Zacher, Sandro",AUTHOR
32,23,"Lauberger, Julia",AUTHOR
33,23,"Thiel, Carolin",AUTHOR
34,23,"Lühnen, Julia",AUTHOR
35,23,"Steckelberg, Anke",AUTHOR
36,24,"Bazata, Jeremias",AUTHOR
37,24,"Meesters, Sophie",AUTHOR
38,24,"Bozzaro, Claudia",AUTHOR
39,24,"Handtke, Violet",AUTHOR
40,24,"Schildmann, Jan",AUTHOR
41,24,"Heckel, Maria",AUTHOR
42,24,"Ostgathe, Christoph",AUTHOR
43,24,"Bausewein, Claudia",AUTHOR
44,24,"Schildmann, Eva",AUTHOR
45,25,"Winter, Kristina",AUTHOR
46,25,"Niemann, Jana",AUTHOR
47,25,"Jepsen, Dennis",AUTHOR
48,25,"Brzank, Petra",AUTHOR
49,26,"Dera, Meron",AUTHOR
50,26,"Wondimagegnehu, Abigiya",AUTHOR
51,26,"Asfaw, Zeytu G.",AUTHOR
52,27,"Fink, Louisa Marie",AUTHOR
53,27,"Ohlbrecht, Heike",CONTRIBUTOR
54,27,"Pasternack, Peer",CONTRIBUTOR
55,28,"Luegmair, Karolina Maria",AUTHOR
56,28,"Steckelberg, Anke",CONTRIBUTOR
57,28,"Schunk, Michaela",CONTRIBUTOR
58,28,"Schnebel, Stefanie",CONTRIBUTOR
59,29,"Ritter, Alexandra",AUTHOR
60,29,"Ritter, Michael",AUTHOR
61,30,"Heimerdinger, Julia",AUTHOR
62,30,"Auhagen, Wolfgang, Prof. Dr.",CONTRIBUTOR
63,30,"Hirschmann, Wolfgang, Prof. Dr.",CONTRIBUTOR
64,31,"Bieber, Anja Martha",AUTHOR
65,31,"Dammermann, Anna",AUTHOR
66,31,"Dichter, Martin",AUTHOR
