id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
1,ATLAS.ti,5,https://dans.knaw.nl,https://doi.org/10.34894/XP9ZCU,v4.1,"Code List, lists of analysed policy documents, atlas.ti project with coded policy documents, and interview topic lists","Code List, lists of analysed policy documents, list of coded documents, and interview topics for publications ""Racialisation and counter-radicalisation: A study of Dutch policy frameworks"" and forthcoming publication ""Masking and countering racialisation: Dutch counter-radicalisation through policymakers’ eyes"".",English,doi:10.34894/XP9ZCU,2024-12-18T09:28:09Z,2026-04-14T17:34:20.341716+00:00,DANS,"doi_10.34894_XP9ZCU_Code_List,_lists_of_analysed_policy_documents,_atlas.ti_project_with_coded_polic",v4.1,API-CALL
2,ATLAS.ti,5,https://dans.knaw.nl,https://doi.org/10.34894/EXOBXR,v1.0,Sjim Romme - PhD Project data for study 2,"<B>Title</B><BR>
Involving patients in undergraduate health professions education: What’s in it for them?<BR><BR>
<B>Abstract </B><BR>
<I>Objectives </I><BR>
Patients have become more involved in research, policy, and health professions education. They are involved in teaching students competencies required for person-centred care, but patient benefits have not received proper attention. This exploratory study identifies how patient involvement in health professions education helps patients to practice self-management and shared decision-making. <BR><BR>
 
<I>Methods </I><BR>
Individual interviews were conducted with patients (hereafter ‘experts by experience’) (N=11) who participated in the Patient As a Person Module, organised for health professions students in The Netherlands. Additionally, one of their healthcare professionals (N=10) and family members (N=9) were interviewed. Directed content analysis was used.  <BR><BR>
 
<I>Results </I><BR>
Participants reported that sharing lived experiences helped experts by experience to reflect on their preferences regarding health and healthcare, accept their changed selves, and obtain a renewed sense of purpose. They reported gaining insight into healthcare professionals' perspectives, which yielded more equal healthcare professional-patient relationships. <BR><BR>
 
<I>Conclusions </I><BR>
Sharing their lived experiences with health and health care with students could help patients practise effective self-management and participate in shared decision-making. <BR><BR>
 
<I>Practice implications  </I><BR>
Approaching patient involvement in health professions education from both the perspectives of students and experts by experience, as opposed to students alone, optimises its societal impact. <BR><BR>

<B>Data index</B><BR>
All thirty transcripts as well as the coding are documented in one single file which can be opened in Atlas.ti.<BR><BR>",,doi:10.34894/EXOBXR,2024-08-23T17:26:02Z,2026-04-14T17:34:54.298042+00:00,DANS,doi_10.34894_EXOBXR_Sjim_Romme_-_PhD_Project_data_for_study_2,v1.0,API-CALL
3,ATLAS.ti,5,https://dans.knaw.nl,https://doi.org/10.34894/FULPNB,v1.0,Study 2: How do undergraduate physiotherapy students experience the initiation of clinical placements in different healthcare settings worldwide?,"<B>1. Introduction and rationale</B><BR><BR>
Healthcare students from all disciplines increasingly engage in international placements, during which they are exposed to a wide variety of clinical workplace settings. To modern-day healthcare students, the challenges of undertaking international placements may form an important contribution to their overall education: growing into professionals that are ‘fit-for-practice’, open to ongoing developments in the field of their profession and ready to face future healthcare challenges. During clinical placements healthcare students develop their professional competencies, according to predefined professional standards. By literally stepping out of their familiar local context into an international context of workplace learning, students might feel they are not only challenged on their professional competences, yet also on a more personal level, when they encounter circumstances very different from the ones they have come to know during their education so far. Hence, an international learning experience may not only change their professional outlook, but also affect personal behaviours, such as the way students learn to deal with their own insecurities and manage (implicit) expectations. At the same time students are challenged to overcome personal insecurities and to adjust to the new clinical environment within relatively short time, so that they become ‘legitimate participants’ in practice (Wenger, 2010) that can actively engage with the local team and participate in patient related tasks in order to learn from their clinical environment (Dornan et al, 2015). For these reasons, educational programmes that offer international placements in healthcare settings seem to value these international internship experiences as they enable both personal and professional growth for students. Yet, there is little empirical evidence about the pitfalls and benefits of international healthcare placements in relation to development of professional identity (Van der Zwet et al, 2011) or students’ learning trajectories (Teunissen, 2015).<BR><BR>
When engaging in international placements, a number of key differences may affect student learning, such as being in an unfamiliar learning environment, having to follow different protocols and rules, whilst being potentially hindered in communication by linguistic and cultural barriers. There is evidence that students are more likely to engage in practice once they have established a supported role in the workplace (Chen et al, 2014; Duvivier et al, 2014). We hypothesize that this need for ‘supported participation’ (Dornan et al, 2015) is even larger when students engage in international placements, since the student is stepping into an unfamiliar workplace setting where different criteria and expectations apply with regard to professional practice (Wenger, 2010). Sheehan and colleagues (2005) have found that for real learning to occur, the initiation phase of interns in a new workplace environment needs to be completed successfully. Their study presents a model of how interns participate in clinical settings (Figure 1), clearly showing the different influences of the team, clinical supervisor and student on development of work-based learning (Sheehan et al, 2005; Sheehan et al, 2012).<BR><BR>
For students in an international context social interaction with the local healthcare team seems highly important in support of real patient learning (Dornan et al, 2015; Van der Zwet et al, 2011). Patient-related learning in practical settings relies on the interaction between a learner and a patient, and can be facilitated or limited by a practitioner (Yardley et al, 2013). Although in the international context language barriers, cultural backgrounds or different expectations might hinder professional interaction between student and supervisor (Newton, Pront & Giles, 2016) evidence shows it is very important to involve the student in patient-related tasks and team activities, as only active engagement will allow the student to become a full participant in professional practice (Dornan et al, 2015; Sheehan et al, 2005). <BR><BR>

When studying the initiation phase of clinical practice, it is unclear how students are received and introduced to their new clinical environment in order to adjust. Students need to realign with their social learning context, or, in this case, the international clinical setting to create learning opportunities (Chen et al, 2014; Wenger, 2010), yet might find it hard to establish the right level of participation. They can feel restricted by local rules and healthcare regulations, communication problems or other barriers to participation and learning in the international context (Sheehan et al, 2005; Steven et al, 2014). Since learning conditions are determined by the clinical setting (Van der Zwet, 2011), these should clearly allow for ‘legitimate peripheral participation’ (Lave and Wenger, 1991; Van der Zwet, 2011), engaging students in novel activities to acquire new knowledge, skills and develop a professional attitude (Wenger, 2010). We hypothesize this will most certainly hold true for undergraduate healthcare students, engaging in international clinical placements. Therefore, the purpose of this exploratory research is to investigate initiation of international clinical placements from a student’s perspective.<BR><BR>

<I>Theoretical framework / educational background</I><BR><BR>
Underlying this proposal is the social learning theory on ‘communities of practice’ as described by Lave and Wenger (1991). A community of practice, such as a healthcare clinic, can be described as a learning system. To become a member of this community, students must be “able (and allowed) to engage productively with others in the community” (Wenger, 2010). In other words: active student participation is core to the meaning-making processes underlying contextual, social learning (Dornan et al, 2015; Teunissen, 2015; Wenger, 2010). Yet, upon entering a new clinical environment, students are faced with several factors that influence their ability to engage in practice, or, in other words: the “active and dynamic negotiation of meaning over time” (Wenger, 2010). Part of this ‘meaning making’ can be done through building relationships and engaging in interaction with other professionals in the workplace, supporting professional development (Sheehan et al, 2012). Although it is unknown whether the model for intern participation (Sheehan et al, 2005) holds true for undergraduate students from allied health disciplines, it certainly outlines a relevant theory to further investigate the initiation of healthcare students as part of their international clinical placement. We hypothesize this introduction to practice should take no longer than one month, after which workplace learning starts. <BR><BR>


<B>2. Aim of research</B><BR><BR>
Our study is aimed to explore how undergraduate physiotherapy students are received, introduced and adjust to different clinical internship settings worldwide. This qualitative exploratory study will be aligned with regular internship procedures as part of the BSc. educational programme of the European School of Physiotherapy at the Amsterdam University of Applied Sciences in the Netherlands. By following first year undergraduates closely and registering their experiences upon entering and adjustment to their first clinical placements, we hope to distinguish how initiation might lead to different student’ experiences and create a better understanding of how initiation impacts on workplace learning. We will investigate individual student’ experiences during the first month of international placements, and explore how these initial experiences can be indicative of a successful learning experience. Therefore, our study will focus on the following research question: how do undergraduate physiotherapy students experience the initiation of clinical placements in different healthcare settings worldwide? The results of this study are expected to inform future educational programmes in allied health care, by creating insight about the initiation of clinical workplace learning in different healthcare settings worldwide.<BR><BR>
<B>3. Target group / participants </B><BR><BR>
Within the Amsterdam University of Applied Sciences (Faculty of Health) international health care students engage in local and international placements as part of their undergraduate training. At the European School of Physiotherapy (ESP), around 220 students from different backgrounds and nationalities follow an accelerated honours programme (240 ECTS) to obtain their Dutch Bachelor degree in Physiotherapy after three years of intensive study. We are interested to find out how undergraduate physiotherapy students are received, introduced and adjust to different clinical internship settings worldwide, as this initiation of practice might influence on students’ learning experiences in the workplace. We will invite all students from the first year cohort of the ESP programme (n=54) that are admissible to enter their first clinical placement in June 2018, to capture their personal and professional experiences during the initiation into clinical practice. To do so, students are asked to make individual audio entries with their smart phone, in which they account for their experiences during their first month of placement. To structure the information gathered, we have designed an instruction sheet for audio diaries (see attachment). Students are free to choose the moment and amount of time spent on their audio entries, for which they can follow the prompts indicated on the sheet. They will be asked to create audio entries minimally twice a week during the first four weeks of clinical placement, with additional entries allowed. Based on previous studies (Crozier & Cassell, 2015; Helmich et al, 2017) we estimate 10-12 student participants will be needed to ensure data saturation. As we would like to control for potential dropouts due to the duration of this study, we will aim for 15 participants to start with, which still enables us to include all data to be part of our analysis. In case initial results will show that data saturation has not yet been reached, we will include more student participants from the same cohort, who were unable to meet formal admissibility criteria of the ESP programme in time for the June placements but instead will be scheduled for November 2018.<BR><BR>
<B>4. Design and procedure</B><BR><BR>
Data collection for this study will take place in June and July 2018. All students from the first year cohort of the ESP programme that are eligible for their first clinical placement during the summer of 2018 will receive a personal invitation via e-mail, together with an information letter about the proposed research (see 7). Student participants must sign informed consent, after which they will receive further instructions and information about research procedures. They are invited to keep a personal audio diary during the first month of clinical placement. This audio diary is meant to capture their experiences during the initiation of clinical practice. Students are asked to share their thoughts about the following prompts: <BR>
-	What have you been doing?<BR>
-	Who did you work with? During what activities? <BR>
-	What have you learned? Can you provide specific examples of this?<BR>
-	Were there any difficulties? <BR>
-	What did you like?<BR><BR>
The participants will be asked to use their smartphone to create and share individual audio recordings via data streaming through an application (‘Easy MP3 Streaming Server’) that must be downloaded, according to instructions, before start of the research. This data stream will be connected to the main researcher, who will upload the MP3-files directly into the password-protected network-environment of the AUAS on SURF drive. All audio recordings will be transcribed and coded, before being destroyed.<BR><BR>
<B>5. Methods</B><BR><BR>
We will use audio diaries to create more insight in student’ experiences during the initiation of clinical placements. This exploratory study follows a qualitative design, with data collection taking place in June/July 2018. Students will be asked to share their thoughts about experiences within the clinical setting, minimally twice a week, during their first month of practice, following the prompts described above. These audio entries may vary in length, as they should allow for rich narrative data (Monrouxe, 2009). A small pilot study will precede actual data collection. The main researcher will further inform and instruct the students about the purpose and procedures of this research before data collection starts.<BR><BR>
<B>6. Analysis</B><BR><BR>
We will apply thematic analysis to analyse the qualitative data. All individual audio entries will be transcribed verbatim. Two researchers (main researcher and research assistant) will individually read the transcripts and perform basic coding, following an iterative process of constant comparison. After initial categories have been established, they will then apply an experience-centered approach to thematic analysis (Worth, 2009) to further analyze the outcomes. Once key elements have been identified, initial results will be shared with the research team to resolve potential conflicts in coding and interpretation, and establish consensus on identified categories before moving on to the conceptual level. All data will be categorized using qualitative data analysis software (Atlas.ti). <BR><BR>
<B>7. Ethical considerations</B><BR><BR>
<I>Sampling</I><BR><BR>
All first year students of the European School of Physiotherapy in Amsterdam, the Netherlands (n=54) will be invited to participate in our study, provided they are admissible for their internship in June 2018. This cohort represents students (21M/33F) from different backgrounds and nationalities (6 Dutch/39 EU/9 non-EU), with an average age of 23 years (ranging between 18-41 years). Additional details about placements (such as country and healthcare setting, see Appendix) will be taken from the online database of the School of Physiotherapy at the AUAS, for which students need to sign informed consent. We will include maximally 15 participants, of which 10 students within private practice setting and 5 students within institutions (such as hospital or rehabilitation centre). Participants will be selected on a ‘first come, first serve’ policy, as we expect the first respondents to be most interested therefore likely to commit to research procedures required.<BR><BR>
By studying undergraduate students who are entering their first clinical placement, we hope to gain more insight on the initiation of clinical placements worldwide, by means of capturing student’ experiences during the first month of physiotherapy practice. <BR><BR>

<I>Justification of research</I><BR><BR>
Workplace learning is of great importance within health professions education, as it contributes to competence development of healthcare students, whilst at the same time preparing future professionals to be flexible and adaptive to ongoing developments in their field. Due to the globalization of health professions education, healthcare programmes are facing an increasing number of international students, incoming as well as outgoing. The proposed study aims to create better insight in the initiation practices during international internships as experienced by undergraduate physiotherapy students, potentially leading to educational changes influencing workplace learning within their professional training. <BR><BR>

<I>Information and consent</I><BR><BR>
The proposed study is aimed to expose new, relevant information for future educational programmes in the field of physiotherapy and other allied health professions, in relation to the initiation phase of (international) placements. All first year students from the European School of Physiotherapy (ESP) will receive an information letter and informed consent form via personal e-mail, with an invitation to participate in this research. They will have two weeks to respond to this invitation, after which the main researcher (MW) will contact them again via e-mail or in person. MW works as clinical coordinator at ESP, thus has access to the school’s database. She is not involved in teaching this cohort of students, nor does she play a role in pass/fail decisions regarding individual clinical placements. <BR><BR>
Participation in this study is completely voluntary and should hold no disadvantages for students other than time investment, although the audio recordings might make the individual student reflect upon situations experienced, potentially increasing stress or pressure. On the other hand, these reflections might also support individual adjustment to practice, creating opportunities for learning. Students will be compensated for their time investment (estimated at 2 hours, in one month’s time) by receiving a personal iTunes gift card of 25 Euros via e-mail after their participation is completed.<BR><BR>
	All students are requested to sign informed consent before data collection starts. Students are informed that their audio recordings will be exchanged via a free downloadable Application on their personal smartphone, enabling direct upload into a protected network environment and MP3 files will be destroyed after transcription, making sure that no personal risks are involved. All data gathered during this study will be handled with great care to respect individual privacy. Recorded data obtained is considered private and will not be communicated with third parties. All audio recordings will be transcribed verbatim and coded. Only the main researcher (MW) will have access to individual recordings and to the key of codes, thus to traceable data. The other members of the research team (RD, SR, PT and ED) only have access to coded data. Students are informed about the fact that they can reconsider their options at any time and decide to no longer participate in this study. Participation is voluntary and this decision will have no (personal or professional) consequences for the participant. Research data obtained before this moment will be destroyed immediately after and no longer be used for purpose of this study. Coded research data belonging to this study will be safely stored and kept at Maastricht University for maximally 10 years, in accordance with the Dutch Code of Conduct in Research (VSNU), before being destroyed. All research data will be made anonymous before publication. In case any data obtained in this study might be re-applied for follow-up studies conducted by the main researcher, related to similar research questions, participants will be informed timely. By signing the informed consent form students agree to these conditions.<BR><BR>",,doi:10.34894/FULPNB,2025-06-15T14:01:29Z,2026-04-14T17:34:54.466667+00:00,DANS,doi_10.34894_FULPNB_Study_2__How_do_undergraduate_physiotherapy_students_experience_the_initiation_o,v1.0,API-CALL
4,ATLAS.ti,5,https://dans.knaw.nl,https://doi.org/10.34894/N9QSVT,v1.0,Kennis over en gebruik van studiestrategieën,"Het doel van het onderzoek was om inzichten te krijgen in de kennis van studenten over effectieve leerstrategieën en het toepassen van die kennis. Onder strategieën worden bijvoorbeeld zelf-testing (retrieval practice), zelf-verklaringen (self-explanations) en het verspreiden van leermomenten (distributed practice) verstaan.

Het kwalitatief onderzoek bestaat uit een enquête, gevolgd door focusgroep interviews en een analyse. De deelnemers (eerstejaars engineering studenten) hebben een enquête ingevuld waarin ze onafhankelijk van elkaar inzichten hebben gegeven in hun persoonlijke keuzes. Op basis van de gegeven antwoorden zijn drie focusgroep interviews georganiseerd. In een gesprek met de onderzoekers en hun studiegenoten hebben de deelnemers deze keuzes toegelicht en geanalyseerd. De getranscribeerde interviews zijn thematisch geanalyseerd door de onderzoekers met ATLAS TI. Fictieve portretten zijn opgebouwd op basis van deze thematische analyse.",Dutch,doi:10.34894/N9QSVT,2025-09-19T14:49:50Z,2026-04-14T17:34:58.858969+00:00,DANS,doi_10.34894_N9QSVT_Kennis_over_en_gebruik_van_studiestrategieën,v1.0,API-CALL
5,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/FGXRQI,v1.0,Replication Data for Chapter 6. Migration and Development: A Passing Phase or Here to Stay?,NVivo file for replicating the analysis for Chapter6,,doi:10.34894/FGXRQI,2020-10-01T12:10:51Z,2026-04-14T17:34:59.609873+00:00,DANS,doi_10.34894_FGXRQI_Replication_Data_for_Chapter_6._Migration_and_Development__A_Passing_Phase_or_He,v1.0,API-CALL
6,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/NUH0NN,v1.0,Replication Data for Chapter 5. Reframing Migration: the Global Forum on Migration and Development,NVivo file for replicating the analysis for Chapter 5,,doi:10.34894/NUH0NN,2020-10-01T12:08:14Z,2026-04-14T17:38:49.160887+00:00,DANS,doi_10.34894_NUH0NN_Replication_Data_for_Chapter_5._Reframing_Migration__the_Global_Forum_on_Migrati,v1.0,API-CALL
7,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/GLOTYF,v1.0,Replication Data for Chapter 7: The “Perfect Storm”? From Provisional Committee to UN migration agency,NVivo file for replicating the analysis for Chapter 7,,doi:10.34894/GLOTYF,2020-10-01T12:13:35Z,2026-04-14T17:43:14.423841+00:00,DANS,doi_10.34894_GLOTYF_Replication_Data_for_Chapter_7__The_“Perfect_Storm”__From_Provisional_Committee,v1.0,API-CALL
8,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/1MYHBY,v1.0,Replication Data for Chapter 8: Responding to Crisis? The Global Compacts,NVivo files for the replication of the analysis for Chapter 8,,doi:10.34894/1MYHBY,2020-10-01T12:16:20Z,2026-04-14T17:43:39.781693+00:00,DANS,doi_10.34894_1MYHBY_Replication_Data_for_Chapter_8__Responding_to_Crisis__The_Global_Compacts,v1.0,API-CALL
9,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/6X7LLY,v1.1,Replication Data for Chapter 4: The History of Global Migration Governance,NVivo files for replicating the analysis done for Chapter 4.,,doi:10.34894/6X7LLY,2020-10-01T12:05:04Z,2026-04-14T17:44:06.750676+00:00,DANS,doi_10.34894_6X7LLY_Replication_Data_for_Chapter_4__The_History_of_Global_Migration_Governance,v1.1,API-CALL
10,NVivo,5,https://dans.knaw.nl,https://doi.org/10.34894/SKVRWR,v1.0,Katherine Wisener - Project data for study 4,"<B>Title</B><BR><BR>From constructive to critical and everywhere in between: An exploration of education leaders’ reactions to upward feedback.<BR><BR>
<B>Summary</B><BR><BR>Feedback from learners is important to support faculty development, but negative feedback can harm teachers’ motivations. Leaders of educational programs, therefore, need to balance enabling students’ voices to be heard with maintaining teachers’ enthusiasm and commitment to teaching. Given the paucity of research to explain or guide this struggle, we explored why and how education leaders grapple with negative learner feedback. The datafile, <I>Study 4_Harsh Feedback.nvpx</I>, is an NVivo file containing interview transcripts with 11 educational leader participants.<BR><BR>",,doi:10.34894/SKVRWR,2024-06-03T12:32:19Z,2026-04-14T17:45:04.628756+00:00,DANS,doi_10.34894_SKVRWR_Katherine_Wisener_-_Project_data_for_study_4,v1.0,API-CALL
